tk_run_id,tk_run_runner,tk_run_verifier,tk_run_duration,tk_run_category_dashname,tk_run_date,tk_run_description,tk_run_link
1,KikooDX,KikooDX,00:01:37.889,Chapter_1,07/11/2021,Holy shit.,https://youtu.be/Nadvj_6ghIM
2,AuroraDash,KikooDX,00:01:39.182,Chapter_1,07/11/2021,!!!! Was too concerned about the slightly wonky ending that I forgot how good the rest of it was until I reached the end and saw the time x3 1:36 possible with a perfect run with these strats,https://www.twitch.tv/videos/1082597377
3,Katrii,KikooDX,00:01:58.662,Chapter_1,07/10/2021,Sub 2 yay :D,https://youtu.be/jaS28hwGElQ
4,Sora2017,KikooDX,00:01:59.812,Chapter_1,06/08/2021,,https://youtu.be/c3RlgudwLLw
5,PurpleThicccmin,KikooDX,00:02:14.526,Chapter_1,06/05/2021,"Trying out some new strats, plenty of mistakes in this run.",https://youtu.be/uoRSazI12rI
6,Swamii,KikooDX,00:02:24.067,Chapter_1,06/05/2021,Simultaneously my best and worst run.,https://youtu.be/90q3AEf7Elc
7,GodOfHyperlife,KikooDX,00:02:39.959,Chapter_1,06/10/2021,my pb is higher but i didnt record it like a dumb and i wanna submit a run so,https://youtu.be/EftnIvS5Pr0
8,ScliffBartoni,KikooDX,00:02:49.298,Chapter_1,07/04/2021,not last place Pog,https://youtu.be/r0IeIIEBfdU
9,Gazebr,KikooDX,00:02:52.251,Chapter_1,06/06/2021,Last place Pog,https://youtu.be/jlZFQnyWPUo
10,KikooDX,KikooDX,00:01:37.663,Chapter_1,07/13/2021,WR/PB by 226 milliseconds.,https://youtu.be/rimZXqTgF1E
11,KikooDX,KikooDX,00:01:34.842,Chapter_1,07/22/2021,bad; I'll keep lowering this,https://youtu.be/vJjhJQZU7C4
